1,SPL\aaron,aaron@spl.com,SAN_FRANCISCO,172.16.210.10,exch-mbx-san-00,S-1-5-21-3623811017-899348573-30300820-2576,BC9CB5CC-DA44-11E0-B014-91A3616AB75D,,,,208.90.214.1,Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.9.2.16)+Gecko/20110319+Firefox/3.6.16+(+.NET+CLR+3.5.30729;+.NET4.0E),Marketing
21,SPL\abel,abel@spl.com,SAN_FRANCISCO,172.16.210.11,exch-mbx-san-00,S-1-5-21-3623811017-899348573-30300820-2586,BC9CB7E8-DA44-11E0-B014-91A3616AB75D,,,,208.90.214.2,Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+6.1;+Trident/4.0;+GTB6.6;+SLCC2;+.NET+CLR+2.0.50727;+.NET+CLR+3.5.30729;+.NET+CLR+3.0.30729;+Media+Center+PC+6.0;+Tablet+PC+2.0;+.NET4.0C;+.NET4.0E;+InfoPath.3),Engineering
22,SPL\abraham,abraham@spl.com,PLANO,172.16.120.10,exch-mbx-pla-01,S-1-5-21-3623811018-894934873-30300820-8111,BC9CB860-DA44-11E0-B014-91A3616AB75D,,,,66.72.53.128.1,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+GTB6.6;+.NET+CLR+1.1.4322;+.NET+CLR+2.0.50727;+InfoPath.1;+.NET+CLR+3.0.04506.30;+.NET+CLR+3.0.04506.648;+.NET+CLR+3.5.21022;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+.NET4.0E),Engineering
3,SPL\adam,adam@spl.com,DENVER,172.16.80.10,exch-mbx-den-01,S-1-5-21-3623811016-734895789-30300820-0983,BC9CB8D8-DA44-11E0-B014-91A3616AB75D,ApplCY848BNVPLRM,iPhone,Apple-iPhone3C3/805.401,65.103.125.1,Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.9.2.16)+Gecko/20110319+Firefox/3.6.16+(+.NET+CLR+3.5.30729;+.NET4.0E),Engineering
24,SPL\adrian,adrian@spl.com,CUPERTINO,172.16.44.10,exch-mbx-cup-00,S-1-5-21-3623811015-336104438-30300820-1043,BC9CB946-DA44-11E0-B014-91A3616AB75D,,,,208.90.215.1,Mozilla/5.0+(Windows;+U;+Windows+NT+6.0;+en-GB;+rv:1.9.2.16)+Gecko/20110319+Firefox/3.6.16+GTB7.1,Marketing
25,SPL\alan,alan@spl.com,CUPERTINO,172.16.44.11,exch-mbx-cup-01,S-1-5-21-3623811015-336104438-30300820-1046,BC9CB9B4-DA44-11E0-B014-91A3616AB75D,,,,208.90.215.2,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322),Engineering
26,SPL\albert,albert@spl.com,SAN_FRANCISCO,172.16.210.12,exch-mbx-san-00,S-1-5-21-3623811017-899348573-30300820-2589,BC9CBA18-DA44-11E0-B014-91A3616AB75D,,,,208.90.214.3,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.1;+WOW64;+Trident/4.0;+SLCC2;+.NET+CLR+2.0.50727;+.NET+CLR+3.5.30729;+.NET+CLR+3.0.30729;+MDDC;+.NET4.0C),Engineering
27,SPL\aldo,aldo@spl.com,DENVER,172.16.80.11,exch-mbx-den-01,S-1-5-21-3623811016-734895789-30300820-0996,BC9CBA86-DA44-11E0-B014-91A3616AB75D,ApplKYKLCX3YF17A,iPhone,Apple-iPhone3C3/805.401,65.103.125.2,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.1;+WOW64;+Trident/4.0;+SLCC2;+.NET+CLR+2.0.50727;+.NET+CLR+3.5.30729;+.NET+CLR+3.0.30729;+Media+Center+PC+6.0;+InfoPath.3;+MS-RTC+LM+8;+.NET4.0C;+.NET4.0E),Engineering
28,SPL\alec,alec@spl.com,PLANO,172.16.120.11,exch-mbx-pla-00,S-1-5-21-3623811018-894934873-30300820-8130,BC9CBAF4-DA44-11E0-B014-91A3616AB75D,ApplO39NJIGOCO56,iPhone,Apple-iPhone3C3/805.401,66.72.53.128.2,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322),Marketing
29,SPL\alex,alex@spl.com,DENVER,172.16.80.12,exch-mbx-den-00,S-1-5-21-3623811016-734895789-30300820-0998,BC9CBB58-DA44-11E0-B014-91A3616AB75D,,,,65.103.125.3,Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+6.1;+Trident/4.0;+SLCC2;+.NET+CLR+2.0.50727;+.NET+CLR+3.5.30729;+.NET+CLR+3.0.30729;+Media+Center+PC+6.0;+MDDR;+InfoPath.2;+MS-RTC+LM+8),Engineering
30,SPL\alexis,alexis@spl.com,SAN_FRANCISCO,172.16.210.13,exch-mbx-san-01,S-1-5-21-3623811017-899348573-30300820-2590,BC9CBBC6-DA44-11E0-B014-91A3616AB75D,ApplO84ZZKCANYYG,iPhone,Apple-iPhone3C3/805.401,208.90.214.4,Opera/9.80+(Windows+NT+5.1;+U;+en)+Presto/2.7.62+Version/11.01,Engineering
31,SPL\alfonso,alfonso@spl.com,PLANO,172.16.120.12,exch-mbx-pla-00,S-1-5-21-3623811018-894934873-30300820-8137,BC9CBC34-DA44-11E0-B014-91A3616AB75D,,,,66.72.53.128.3,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.1;+WOW64;+Trident/4.0;+GTB6.6;+chromeframe/10.0.648.204;+SLCC2;+.NET+CLR+2.0.50727;+.NET+CLR+3.5.30729;+.NET+CLR+3.0.30729;+Media+Center+PC+6.0;+InfoPath.3;+.NET4.0C;+Zune+4.7;+AskTbAD2/5.9.1.14019),Engineering
32,SPL\alfred,alfred@spl.com,SAN_FRANCISCO,172.16.210.14,exch-mbx-san-00,S-1-5-21-3623811017-899348573-30300820-2604,BC9CBC98-DA44-11E0-B014-91A3616AB75D,ApplMAZ0UOU7USO3,iPhone,Apple-iPhone3C3/805.401,208.90.214.5,Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+6.1;+Trident/4.0;+SLCC2;+.NET+CLR+2.0.50727;+.NET+CLR+3.5.30729;+.NET+CLR+3.0.30729;+Media+Center+PC+6.0;+MDDR;+InfoPath.2;+MS-RTC+LM+8),Engineering
33,SPL\alonso,alonso@spl.com,DENVER,172.16.80.13,exch-mbx-den-01,S-1-5-21-3623811016-734895789-30300820-1010,BC9CBD06-DA44-11E0-B014-91A3616AB75D,,,,65.103.125.4,Mozilla/5.0+(Windows;+U;+Windows+NT+6.0;+en-GB;+rv:1.9.2.16)+Gecko/20110319+Firefox/3.6.16+GTB7.1,Engineering
34,SPL\alton,alton@spl.com,PLANO,172.16.120.13,exch-mbx-pla-01,S-1-5-21-3623811018-894934873-30300820-8150,BC9CBD6A-DA44-11E0-B014-91A3616AB75D,,,,66.72.53.128.4,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+1.1.4322;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+MSN+OptimizedIE8;ENIN),Engineering
35,SPL\alvin,alvin@spl.com,PLANO,172.16.120.14,exch-mbx-pla-00,S-1-5-21-3623811018-894934873-30300820-8158,BC9CBDD8-DA44-11E0-B014-91A3616AB75D,,,,66.72.53.128.5,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.1;+WOW64;+Trident/4.0;+GTB6.6;+chromeframe/10.0.648.204;+SLCC2;+.NET+CLR+2.0.50727;+.NET+CLR+3.5.30729;+.NET+CLR+3.0.30729;+Media+Center+PC+6.0;+InfoPath.3;+.NET4.0C;+Zune+4.7;+AskTbAD2/5.9.1.14019),Engineering
36,SPL\andrea,andrea@spl.com,PLANO,172.16.120.15,exch-mbx-pla-01,S-1-5-21-3623811018-894934873-30300820-8166,BC9CBE46-DA44-11E0-B014-91A3616AB75D,HTCAndc782f6bf,Android,Android/Froyo2.2,66.72.53.128.6,Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10.6;+en-US;+rv:1.9.2.16)+Gecko/20110319+Firefox/3.6.16+GTB7.1,Sales
37,SPL\andrew,andrew@spl.com,DENVER,172.16.80.14,exch-mbx-den-00,S-1-5-21-3623811016-734895789-30300820-1025,BC9CBEAA-DA44-11E0-B014-91A3616AB75D,,,,65.103.125.5,Opera/9.80+(Windows+NT+5.1;+U;+en)+Presto/2.7.62+Version/11.01,Sales
38,SPL\antony,antony@spl.com,CUPERTINO,172.16.44.12,exch-mbx-cup-01,S-1-5-21-3623811015-336104438-30300820-1056,BC9CBF22-DA44-11E0-B014-91A3616AB75D,,,,208.90.215.3,Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322),Sales
